Tiempo,Distancia,Velocidad,Masa
0.001,9.090909090909091e-07,0.0009090909090909091,9.999
0.002,2.7272809918106693e-06,0.0018181900827197602,9.998000000000001
0.003,5.45457851284749e-06,0.0027272975210368205,9.997000000000002
0.004,9.090991737039851e-06,0.003636413224192361,9.996000000000002
0.005,1.3636528929376509e-05,0.0045455371923366576,9.995000000000003
0.006,1.9091198354996498e-05,0.005454669425619989,9.994000000000003
0.007,2.5455008279189135e-05,0.006363809924192638,9.993000000000004
0.008,3.272796696739403e-05,0.007272958688204894,9.992000000000004
0.009000000000000001,4.091008268520107e-05,0.008182115717807047,9.991000000000005
0.010000000000000002,5.0001363698350466e-05,0.009091281013149393,9.990000000000006
0.011000000000000003,6.00018182727327e-05,0.010000454574382232,9.989000000000006
0.012000000000000004,7.091145467438857e-05,0.010909636401655869,9.988000000000007
0.013000000000000005,8.273028116950917e-05,0.01181882649512061,9.987000000000007
0.014000000000000005,9.545830602443594e-05,0.01272802485492677,9.986000000000008
0.015000000000000006,0.00010909553750566061,0.013637231481224662,9.985000000000008
0.016000000000000007,0.00012364198387982523,0.014546446374164608,9.984000000000009
0.017000000000000008,0.00013909765341372216,0.015455669533896934,9.98300000000001
0.01800000000000001,0.00015546255437429412,0.016364900960571964,9.98200000000001
0.01900000000000001,0.00017273669502863414,0.017274140654340034,9.98100000000001
0.02000000000000001,0.0001909200836439856,0.01818338861535148,9.980000000000011
0.02100000000000001,0.00021001272848774225,0.019092644843756643,9.979000000000012
0.022000000000000013,0.00023001463782744812,0.02000190933970587,9.978000000000012
0.023000000000000013,0.0002509258199307976,0.020911182103349506,9.977000000000013
0.024000000000000014,0.00027274628306563553,0.02182046313483791,9.976000000000013
0.025000000000000015,0.00029547603549995695,0.022729752434321432,9.975000000000014
0.026000000000000016,0.0003191150855019074,0.023639050001950438,9.974000000000014
0.027000000000000017,0.00034366344133978266,0.024548355837875294,9.973000000000015
0.028000000000000018,0.00036912111128202903,0.025457669942246366,9.972000000000016
0.02900000000000002,0.0003954881035972431,0.02636699231521403,9.971000000000016
0.03000000000000002,0.00042276442655417176,0.027276322956928663,9.970000000000017
0.03100000000000002,0.0004509500884217124,0.028185661867540648,9.969000000000017
0.03200000000000002,0.0004800450974689128,0.02909500904720037,9.968000000000018
0.03300000000000002,0.000510049461964971,0.03000436449605822,9.967000000000018
0.03400000000000002,0.0005409631901792356,0.030913728214264594,9.966000000000019
0.035000000000000024,0.0005727862903812056,0.031823100201969885,9.96500000000002
0.036000000000000025,0.0006055187708405301,0.032732480459324496,9.96400000000002
0.037000000000000026,0.0006391606398270089,0.033641868986478835,9.96300000000002
0.03800000000000003,0.0006737119056105923,0.034551265783583314,9.962000000000021
0.03900000000000003,0.0007091725764613807,0.03546067085078835,9.961000000000022
0.04000000000000003,0.000745542660649625,0.036370084188244355,9.960000000000022
0.04100000000000003,0.0007828221664457269,0.03727950579610176,9.959000000000023
0.04200000000000003,0.0008210111021202378,0.03818893567451098,9.958000000000023
0.04300000000000003,0.0008601094759438602,0.03909837382362246,9.957000000000024
0.04400000000000003,0.0009001172961874468,0.04000782024358663,9.956000000000024
0.04500000000000003,0.0009410345711220007,0.040917274934553924,9.955000000000025
0.046000000000000034,0.0009828613090186755,0.04182673789667479,9.954000000000025
0.047000000000000035,0.0010255975181487752,0.04273620913009968,9.953000000000026
0.048000000000000036,0.0010692432067837543,0.04364568863497904,9.952000000000027
0.04900000000000004,0.0011137983831952176,0.044555176411463324,9.951000000000027
0.05000000000000004,0.0011592630556549206,0.045464672459702996,9.950000000000028
0.05100000000000004,0.001205637232434769,0.046374176779848515,9.949000000000028
0.05200000000000004,0.0012529209218068193,0.04728368937205035,9.948000000000029
0.05300000000000004,0.0013011141320432784,0.048193210236458985,9.94700000000003
0.05400000000000004,0.0013502168714165032,0.04910273937322488,9.94600000000003
0.05500000000000004,0.0014002291481990017,0.050012276782498526,9.94500000000003
0.05600000000000004,0.001451150970663432,0.0509218224644304,9.944000000000031
0.057000000000000044,0.001502982347082603,0.051831376419170995,9.943000000000032
0.058000000000000045,0.001555723285729474,0.0527409386468708,9.942000000000032
0.059000000000000045,0.0016093737948771542,0.05365050914768032,9.941000000000033
0.060000000000000046,0.0016639338827989043,0.054560087921750045,9.940000000000033
0.06100000000000005,0.0017194035577681348,0.05546967496923049,9.939000000000034
0.06200000000000005,0.001775782828058407,0.05637927029027216,9.938000000000034
0.06300000000000004,0.0018330717019434326,0.05728887388502557,9.937000000000035
0.06400000000000004,0.0018912701876970738,0.058198485753641234,9.936000000000035
0.06500000000000004,0.0019503782935933434,0.05910810589626967,9.935000000000036
0.06600000000000004,0.002010396027906405,0.06001773431306141,9.934000000000037
0.06700000000000005,0.002071323398910572,0.06092737100416699,9.933000000000037
0.06800000000000005,0.0021331604148803088,0.061837015969736925,9.932000000000038
0.06900000000000005,0.0021959070840902304,0.06274666920992177,9.931000000000038
0.07000000000000005,0.0022595634148151024,0.06365633072487205,9.930000000000039
0.07100000000000005,0.0023241294153298407,0.06456600051473832,9.92900000000004
0.07200000000000005,0.0023896050939095116,0.06547567857967114,9.92800000000004
0.07300000000000005,0.0024559904588293325,0.06638536491982105,9.92700000000004
0.07400000000000005,0.002523285518364671,0.06729505953533862,9.926000000000041
0.07500000000000005,0.0025914902807910455,0.06820476242637441,9.925000000000042
0.07600000000000005,0.0026606047543841246,0.06911447359307898,9.924000000000042
0.07700000000000005,0.0027306289474197274,0.07002419303560291,9.923000000000043
0.07800000000000006,0.002801562868173824,0.07093392075409677,9.922000000000043
